days,dry_mass_ug
0.0655,13.4433
2.2163,16.7727
4.9775,24.9416
7.9956,38.8411
10.0175,43.3724
13.0352,63.3093
15.0262,89.9108
17.1116,86.5901
19.0063,122.9773
22.0881,171.3921
25.0421,274.4193
28.0276,378.946
30.051,584.8728
