days,dry_mass_ug
2.0283, 78.27
3.0629, 78.4088
4.0168, 85.2517
5.0705, 90.3968
6.1025, 107.3788
8.1052, 170.7957
9.156, 218.8489
16.1267, 529.1047
24.0643, 2190.8598
34.9491, 7786.8763
