days     , wet_mass_g , growth_g_d , mgO2_kg_h , mgO2_h   , temp_kelvin ,growth_obs
135.5479 , 71.2035    , 0.6473136  , 122.4     , 8.715308 , 285.15      ,"growth calculated as instantaneousGrowth(71.2035 , 54.224  , 135.5479 , 105.5823)"
136.0229 , 29.4267    , 0.177838   , 86.5      , 2.54541  , 279.15      ,"growth calculated as instantaneousGrowth(29.4267 , 24.4421 , 136.0229 , 105.3126)"
