days,dry_mass_ug
0.0497,14.0426
2.9733,31.6275
4.9327,51.1924
6.8925,91.0548
9.9426,135.4356
11.9667,240.9009
14.955,619.1598
17.0104,947.0735
19.995,1071.6018
23.0117,1235.6024
26.0634,2679.9798
