hours   , umolO2_g_h
8.8567  , 5.5036
9.8508  , 5.2948
10.8142 , 6.3881
11.8098 , 6.9514
12.8377 , 7.1343
13.8319 , 6.9947
14.7931 , 6.9703
15.7542 , 6.8883
16.8141 , 6.4374
17.842  , 6.5973
18.7721 , 7.5985
19.7997 , 7.6777
20.8941 , 7.8721
21.8563 , 8.3202
22.8516 , 8.7912
23.8786 , 8.4556
24.8367 , 6.8525
25.8959 , 6.079
26.8916 , 6.7229
27.9176 , 5.9379
28.847  , 6.5704
29.8749 , 6.7187
30.8681 , 6.1642
31.8965 , 6.5892
