log10_dry_mass_ug , log10_ulO2_h , temp_celsius , ulO2_h
1.754             , -0.4088      , 4            , 0.3901216
1.6717            , 0.1531       , 4            , 1.4226563
1.7662            , -0.6795      , 4            , 0.2091703
1.8411            , -0.0458      , 4            , 0.8999119
2.1222            , -0.1889      , 4            , 0.6472916
2.4117            , -0.1058      , 4            , 0.7837905
1.6877            , -0.7194      , 7            , 0.1908095
1.7252            , -0.0249      , 7            , 0.9442783
1.7704            , -0.5907      , 7            , 0.2566256
1.9236            , -0.3573      , 7            , 0.4392381
2.2588            , 0.0163       , 7            , 1.0382454
2.4075            , -0.2351      , 7            , 0.5819692
2.6479            , 0.6157       , 7            , 4.1276228
3.0946            , 0.8311       , 7            , 6.7779756
1.6922            , -0.1701      , 10           , 0.6759273
1.6549            , -0.2426      , 10           , 0.5720052
1.8202            , -0.4496      , 10           , 0.3551403
1.9821            , 0.4703       , 10           , 2.9532486
2.2757            , 0.5009       , 10           , 3.1688377
2.7511            , 0.5222       , 10           , 3.3281278
3.4215            , 1.136        , 10           , 13.6772883
