hours   , umolO2_g_h
7.4929  , 4.9175
8.3131  , 6.3321
9.2212  , 6.8406
10.0392 , 7.5178
10.8997 , 7.2274
11.7136 , 6.4452
12.6217 , 6.9383
13.4365 , 6.5402
14.2988 , 6.8488
15.1576 , 5.9285
16.0651 , 6.2218
16.8801 , 5.8391
17.7429 , 6.3475
18.6073 , 7.4242
19.2879 , 7.6097
20.1509 , 8.1641
21.0128 , 8.3652
21.9209 , 8.8582
22.7364 , 8.6599
23.5977 , 8.6766
24.4574 , 8.0482
25.3648 , 8.2801
26.1811 , 8.3736
27.0428 , 8.4979
