days,log10_dry_mass_ug,temp_celsius,dry_mass_ug
4.0726,1.7521,4,56.50671
10.9371,1.6858,4,48.50651
18.9719,1.7591,4,57.42487
24.967,1.8169,4,65.59942
33.1175,2.15,4,141.25375
41.2088,2.3966,4,249.22982
2.8376,1.7029,7,50.45451
10.1327,1.7082,7,51.07402
16.9322,1.7436,7,55.41151
24.0361,1.9334,7,85.78276
31.0138,2.2023,7,159.33090
38.055,2.4222,7,264.36259
46.2055,2.7516,7,564.41689
52.1916,3.1031,7,1267.94379
1.909,1.7441,10,55.47534
8.7746,1.6401,10,43.66164
16.9915,1.8264,10,67.05019
23.1067,1.9971,10,99.33447
30.1404,2.4581,10,287.14417
37.1799,2.7308,10,538.02196
44.2715,3.316,10,2070.14135
