mass_dry_ug,nmolO2_h
29.2383,9.0426
38.9516,7.7334
43.4203,14.291
64.0438,22.1497
88.225,36.4017
86.4676,25.3784
124.963,36.0308
176.8955,64.6425
253.9889,67.179
374.4431,171.194
607.641,281.2812
