"species","habitat"
"Dussumieria acuta","marine; freshwater; brackish"
"Dussumieria elopsoides","marine"
"Elagatis bipinnulata","marine; reef-associated"
"Electrona antarctica","marine"
"Electrona carlsbergi","marine"
"Electrona risso","marine"
"Eleginops maclovinus","marine"
"Eleginus gracilis","marine; freshwater; brackish"
"Eleotris oxycephala","marine; freshwater; brackish"
"Elopichthys bambusa","freshwater; benthopelagic"
"Elops machnata","marine; brackish"
"Elops saurus","marine; brackish; reef-associated"
"Emmelichthys nitidus nitidus","marine"
"Enchelyopus cimbrius","marine"
"Encrasicholina devisi","marine; brackish; reef-associated"
"Encrasicholina heteroloba","marine; reef-associated"
"Encrasicholina punctifer","marine; reef-associated"
"Encrasicholina purpurea","marine; brackish"
"Engraulicypris sardella","freshwater"
"Engraulis anchoita","marine"
"Engraulis australis","marine; brackish"
"Engraulis capensis","marine"
"Engraulis encrasicolus","marine; brackish"
"Engraulis japonicus","marine"
"Engraulis mordax","marine"
"Engraulis ringens","marine; oceanodromous"
"Enteromius holotaenia","freshwater; benthopelagic"
"Enteromius liberiensis","freshwater; benthopelagic"
"Enteromius paludinosus","freshwater; benthopelagic"
"Enteromius pumilus","freshwater; benthopelagic"
"Enteromius trimaculatus","freshwater; benthopelagic"
"Eopsetta grigorjewi","marine"
"Eopsetta jordani","marine"
"Epigonus angustifrons","marine"
"Epigonus elegans","marine"
"Epigonus telescopus","marine"
"Epinephelides armatus","marine"
"Epinephelus adscensionis","marine"
"Epinephelus aeneus","marine; brackish"
"Epinephelus areolatus","marine; reef-associated"
"Epinephelus caninus","marine"
"Epinephelus chlorostigma","marine; reef-associated"
"Epinephelus cifuentesi","marine"
"Epinephelus coioides","marine; brackish; reef-associated"
"Epinephelus costae","marine"
"Epinephelus cyanopodus","marine; reef-associated"
"Epinephelus diacanthus","marine"
"Epinephelus drummondhayi","marine"
"Epinephelus fasciatus","marine; brackish; reef-associated"
"Epinephelus fuscoguttatus","marine; reef-associated"
"Epinephelus guttatus","marine; reef-associated"
"Epinephelus hexagonatus","marine; reef-associated"
"Epinephelus itajara","marine; brackish; reef-associated"
"Epinephelus labriformis","marine"
"Epinephelus latifasciatus","marine"
"Epinephelus maculatus","marine; reef-associated"
"Epinephelus malabaricus","marine; brackish; reef-associated"
"Epinephelus marginatus","marine; reef-associated"
"Epinephelus merra","marine; reef-associated"
"Epinephelus morio","marine; reef-associated"
"Epinephelus morrhua","marine; reef-associated"
"Epinephelus multinotatus","marine; reef-associated"
"Epinephelus ongus","marine; brackish; reef-associated"
"Epinephelus polylepis","marine"
"Epinephelus polyphekadion","marine; reef-associated"
"Epinephelus rivulatus","marine; reef-associated"
"Epinephelus sexfasciatus","marine; reef-associated"
"Epinephelus striatus","marine; reef-associated"
"Epinephelus tauvina","marine; reef-associated"
"Epinephelus tukula","marine; reef-associated"
"Eptatretus polytrema","marine"
"Equulites elongatus","marine"
"Equulites klunzingeri","marine"
"Equulites leuciscus","marine"
"Equulites lineolatus","marine"
"Ericymba buccata","freshwater"
"Erilepis zonifer","marine"
"Erythrocles schlegelii","marine"
"Esox americanus","freshwater; brackish"
"Esox lucius","freshwater; brackish"
"Esox masquinongy","freshwater"
"Esox niger","freshwater"
"Esox reichertii","freshwater"
"Etelis carbunculus","marine; benthopelagic"
"Etelis coruscans","marine; reef-associated"
"Etelis oculatus","marine"
"Etelis radiosus","marine"
"Etheostoma caeruleum","freshwater"
"Etheostoma flabellare","freshwater"
"Etheostoma juliae","freshwater"
"Etheostoma nigrum","freshwater; benthopelagic"
"Etheostoma sagitta","freshwater"
"Ethmalosa fimbriata","marine; freshwater; brackish"
"Etmopterus baxteri","marine"
"Etropus crossotus","marine; brackish"
"Etrumeus acuminatus","marine"
"Etrumeus golanii","marine"
"Etrumeus micropus","marine"
"Etrumeus sadina","marine"
"Etrumeus whiteheadi","marine"
"Eubleekeria splendens","marine; brackish"
"Eucinostomus argenteus","marine; freshwater; brackish; reef-associated"
"Eucinostomus gula","marine; freshwater; brackish; reef-associated"
"Eudontomyzon mariae","freshwater"
"Eugerres brasilianus","marine"
"Eugerres plumieri","marine; freshwater; brackish"
"Eumegistus illustris","marine"
"Euthynnus affinis","marine"
"Euthynnus alletteratus","marine; brackish; reef-associated"
"Eutrigla gurnardus","marine; brackish"
"Evermannella melanoderma","marine"
"Evynnis ehrenbergii","marine; benthopelagic"
"Facciolella gilbertii","marine; benthopelagic"
"Favonigobius lateralis","marine; brackish"
"Favonigobius lentiginosus","marine"
"Filimanus heptadactyla","marine; brackish"
"Forbesichthys agassizii","freshwater"
"Forsterygion lapillum","marine; benthopelagic"
"Forsterygion varium","marine; benthopelagic"
"Fundulus parvipinnis","marine; brackish; benthopelagic"
"Furgaleus macki","marine"
"Gadiculus argenteus","marine"
"Gadiculus thori","marine; oceanodromous"
"Gadus chalcogrammus","marine; brackish; benthopelagic"
"Gadus macrocephalus","marine"
"Gadus morhua","marine; brackish; benthopelagic"
"Gaidropsarus guttatus","marine"
"Gaidropsarus mediterraneus","marine; brackish"
"Galaxias occidentalis","freshwater"
"Galaxiella munda","freshwater"
"Galaxiella nigrostriata","freshwater"
"Galaxiella pusilla","freshwater"
"Galeocerdo cuvier","marine; brackish; benthopelagic"
"Galeoides decadactylus","marine; brackish"
"Galeorhinus galeus","marine; benthopelagic"
"Gambusia affinis","freshwater; brackish; benthopelagic"
"Garra mullya","freshwater"
"Garra rufa","freshwater; benthopelagic"
"Gasterosteus aculeatus","marine; freshwater; brackish; benthopelagic"
"Gazza minuta","marine; brackish"
"Genidens barbus","marine; brackish"
"Genypterus blacodes","marine"
"Genypterus capensis","marine"
"Gerres cinereus","marine; freshwater; brackish; reef-associated"
"Gerres filamentosus","marine; freshwater; brackish"
"Gerres longirostris","marine; freshwater; brackish; reef-associated"
"Gerres oyena","marine; brackish; reef-associated"
"Gerres setifer","marine; brackish; benthopelagic"
"Gibelion catla","freshwater; brackish; benthopelagic"
"Gigantura indica","marine"
"Gila atraria","freshwater"
"Gila cypha","freshwater; benthopelagic"
"Ginglymostoma cirratum","marine; brackish; reef-associated"
"Girella punctata","marine; reef-associated"
"Girella tricuspidata","marine; brackish; benthopelagic"
"Glaniopsis hanitschi","freshwater"
"Glaucosoma buergeri","marine; benthopelagic"
"Glaucosoma hebraicum","marine; reef-associated"
"Glossanodon semifasciatus","marine; benthopelagic"
"Glossogobius giuris","marine; freshwater; brackish; benthopelagic"
"Glyptocephalus cynoglossus","marine"
"Glyptocephalus stelleri","marine"
"Glyptocephalus zachirus","marine"
"Glyptosternon maculatum","freshwater"
"Gnathanodon speciosus","marine; reef-associated"
"Gnathopogon strigatus","freshwater"
"Gobiesox rhessodon","marine"
"Gobio cynocephalus","freshwater"
"Gobio gobio","freshwater; brackish; benthopelagic"
"Gobio soldatovi","freshwater; benthopelagic"
"Gobiobotia pappenheimi","freshwater"
"Gobiomorphus breviceps","freshwater"
"Gobionellus microdon","freshwater; brackish"
"Gobionotothen gibberifrons","marine"
"Gobiosoma robustum","marine; brackish"
"Gobius cobitis","marine; brackish"
"Gobius niger","marine; brackish"
"Gobius paganellus","marine; freshwater; brackish"
"Gobius vittatus","marine"
"Gobiusculus flavescens","marine; brackish"
"Gudusia chapra","freshwater; brackish"
"Gymnapistes marmoratus","marine; brackish"
"Gymnarchus niloticus","freshwater"
"Gymnelus viridis","marine"
"Gymnocanthus detrisus","marine"
"Gymnocanthus galeatus","marine"
"Gymnocanthus pistilliger","marine"
"Gymnocanthus tricuspis","marine"
"Gymnocephalus cernua","freshwater; brackish"
"Gymnocranius audleyi","marine; reef-associated"
"Gymnocranius euanus","marine; reef-associated"
"Gymnocranius grandoculis","marine; reef-associated"
"Gymnocranius griseus","marine; reef-associated"
"Gymnotus carapo","freshwater; benthopelagic"
"Haemulon album","marine; reef-associated"
"Haemulon aurolineatum","marine; reef-associated"
"Haemulon bonariense","marine"
"Haemulon flaviguttatum","marine"
"Haemulon flavolineatum","marine; reef-associated"
"Haemulon maculicauda","marine"
"Haemulon melanurum","marine; reef-associated"
"Haemulon parra","marine; reef-associated"
"Haemulon plumierii","marine; reef-associated"
"Haemulon sciurus","marine; reef-associated"
"Haemulon sexfasciatum","marine; reef-associated"
"Haemulon steindachneri","marine; reef-associated"
"Haemulopsis corvinaeformis","marine; freshwater; brackish"
"Halichoeres hortulanus","marine; reef-associated"
"Halichoeres marginatus","marine; reef-associated"
"Halichoeres radiatus","marine; brackish; reef-associated"
"Halichoeres scapularis","marine; reef-associated"
"Halosauropsis macrochir","marine"
"Hampala macrolepidota","freshwater; benthopelagic"
"Haplochromis macconneli","freshwater"
"Harengula humeralis","marine; reef-associated"
"Harengula jaguana","marine; brackish; reef-associated"
"Harpadon nehereus","marine; brackish; benthopelagic"
"Harpagifer antarcticus","marine"
"Helicolenus dactylopterus","marine"
"Helicolenus lahillei","marine"
"Helicolenus percoides","marine"
"Hemerocoetes monopterygius","marine"
"Hemibagrus baramensis","freshwater"
"Hemibarbus labeo","freshwater; benthopelagic"
"Hemichromis fasciatus","freshwater; benthopelagic"
"Hemiculter leucisculus","freshwater; brackish; benthopelagic"
"Hemiculter lucidus","freshwater"
"Hemigrammocapoeta kemali","freshwater"
"Hemilepidotus zapus","marine"
"Hemiramphus brasiliensis","marine; reef-associated"
"Hemiramphus convexus","marine"
"Hemisorubim platyrhynchos","freshwater"
"Henicorhynchus siamensis","freshwater; benthopelagic"
"Hepsetus cuvieri","freshwater"
"Hepsetus odoe","freshwater"
"Herklotsichthys quadrimaculatus","marine; freshwater; brackish; reef-associated"
"Hesperoleucus symmetricus","freshwater"
"Heterandria bimaculata","freshwater; benthopelagic"
"Heterobranchus longifilis","freshwater"
"Heterodontus portusjacksoni","marine"
"Heteropneustes fossilis","freshwater; brackish"
"Heterotis niloticus","freshwater"
"Hexagrammos agrammus","marine"
"Hexagrammos otakii","marine"
"Hilsa kelee","marine; freshwater; brackish"
"Hiodon alosoides","freshwater"
"Hiodon tergisus","freshwater"
"Hippocampus comes","marine; reef-associated"
"Hippocampus erectus","marine; reef-associated"
"Hippocampus guttulatus","marine; brackish"
"Hippocampus kuda","marine; brackish; reef-associated"
"Hippocampus reidi","marine; brackish; reef-associated"
"Hippocampus whitei","marine"
"Hippocampus zosterae","marine"
"Hippoglossina stomata","marine"
"Hippoglossoides dubius","marine"
"Hippoglossoides elassodon","marine"
"Hippoglossoides platessoides","marine"
"Hippoglossoides robustus","marine"
"Hippoglossus hippoglossus","marine"
"Hippoglossus stenolepis","marine"
"Hipposcarus harid","marine; reef-associated"
"Hipposcarus longiceps","marine; reef-associated"
"Hirundichthys affinis","marine"
"Hirundichthys oxycephalus","marine"
"Histiobranchus bathybius","marine; benthopelagic"
"Holocentrus adscensionis","marine; reef-associated"
"Holocentrus rufus","marine; reef-associated"
"Hoplias malabaricus","freshwater; benthopelagic"
"Hoplosternum littorale","freshwater"
"Hoplostethus atlanticus","marine"
"Hoplostethus mediterraneus","marine; benthopelagic"
"Howella brodiei","marine"
"Hucho hucho","freshwater; benthopelagic"
"Hucho taimen","freshwater; brackish; benthopelagic"
"Huso dauricus","marine; freshwater; brackish"
"Huso huso","marine; freshwater; brackish"
"Hybognathus nuchalis","freshwater"
"Hydrocynus forskahlii","freshwater"
"Hydrocynus vittatus","freshwater"
"Hydrolagus colliei","marine"
"Hymenocephalus italicus","marine; benthopelagic"
"Hyperoglyphe antarctica","marine; benthopelagic"
"Hyperoplus lanceolatus","marine; brackish"
"Hyperprosopon anale","marine"
"Hypomesus olidus","marine; freshwater; brackish"
"Hypophthalmichthys molitrix","freshwater; benthopelagic"
"Hypophthalmichthys nobilis","freshwater; benthopelagic"
"Hypophthalmus edentatus","freshwater"
"Hypophthalmus marginatus","freshwater"
"Hypoptychus dybowskii","marine"
"Hyporhamphus australis","marine; brackish"
"Hyporhamphus intermedius","marine; freshwater; brackish"
"Hyporhamphus melanochir","marine; brackish"
"Hyporhamphus regularis","freshwater; brackish"
"Hyporhamphus unifasciatus","marine; brackish; reef-associated; oceanodromous"
"Hyporthodus flavolimbatus","marine"
"Hyporthodus nigritus","marine"
"Hyporthodus niveatus","marine"
"Hyporthodus octofasciatus","marine"
"Hyporthodus quernus","marine; benthopelagic"
"Hypostomus albopunctatus","freshwater"
"Iberochondrostoma lemmingii","freshwater"
"Icelus canaliculatus","marine"
"Icelus perminovi","marine"
"Icelus spiniger","marine"
"Ichthyborus besse","freshwater"
"Ichthyomyzon greeleyi","freshwater"
"Icosteus aenigmaticus","marine"
"Ictalurus punctatus","freshwater; benthopelagic"
"Idiacanthus antrostomus","marine"
"Ilisha africana","marine; brackish"
"Ilisha elongata","marine; brackish"
"Ilisha filigera","marine; freshwater; brackish"
"Inimicus japonicus","marine"
"Isogomphodon oxyrhynchus","marine; brackish"
"Isopsetta isolepis","marine"
"Istiompax indica","marine"
"Istiophorus albicans","marine"
"Istiophorus platypterus","marine"
"Isurus oxyrinchus","marine"
"Jaydia lineata","marine"
"Jenkinsia lamprotaenia","marine; reef-associated"
"Jenynsia lineata","freshwater"
"Jenynsia multidentata","freshwater"
"Johnius borneensis","marine; freshwater; brackish; benthopelagic"
"Johnius carutta","marine; freshwater; brackish"
"Johnius coitor","marine; freshwater; brackish"
"Johnius dussumieri","marine; brackish"
"Johnius glaucus","marine"
"Johnius macrorhynus","marine"
"Kajikia albida","marine"
"Kajikia audax","marine"
"Kali kerberti","marine"
"Karalepis stewarti","marine"
"Karalla daura","marine"
"Kareius bicoloratus","marine; freshwater; brackish"
"Kathetostoma averruncus","marine"
"Kathetostoma giganteum","marine"
"Katsuwonus pelamis","marine; oceanodromous"
"Konosirus punctatus","marine; brackish"
"Kuhlia sandvicensis","marine; freshwater; brackish; benthopelagic"
"Kyphosus cinerascens","marine; reef-associated"
"Labeo bata","freshwater; benthopelagic"
"Labeo boggut","freshwater"
"Labeo calbasu","freshwater; brackish"
"Labeo coubie","freshwater; benthopelagic"
"Labeo dussumieri","freshwater; benthopelagic"
"Labeo fimbriatus","freshwater; benthopelagic"
"Labeo gonius","freshwater; benthopelagic"
"Labeo horie","freshwater; benthopelagic"
"Labeo lunatus","freshwater; benthopelagic"
"Labeo niloticus","freshwater"
"Labeo rohita","freshwater; brackish; benthopelagic"
"Labeo senegalensis","freshwater; benthopelagic"
"Labeobarbus aeneus","freshwater; benthopelagic"
"Labeobarbus bynni","freshwater"
"Labeobarbus kimberleyensis","freshwater; benthopelagic"
"Labidesthes sicculus","freshwater"
"Labrus bergylta","marine; reef-associated"
"Labrus merula","marine"
"Labrus mixtus","marine; reef-associated"
"Lachnolaimus maximus","marine; reef-associated"
"Lactarius lactarius","marine; brackish"
"Ladislavia taczanowskii","freshwater"
"Laemonema longipes","marine"
"Lagocephalus sceleratus","marine; reef-associated"
"Lagodon rhomboides","marine; freshwater; brackish"
"Lamna ditropis","marine"
"Lamna nasus","marine"
"Lampanyctodes hectoris","marine"
"Lampetra planeri","freshwater"
"Lampris guttatus","marine"
"Larimichthys crocea","marine; brackish; benthopelagic"
"Larimichthys polyactis","marine; benthopelagic"
"Larimus breviceps","marine; brackish"
"Larimus fasciatus","marine; brackish"
"Lateolabrax japonicus","marine; freshwater; brackish; reef-associated"
"Lates angustifrons","freshwater"
"Lates calcarifer","marine; freshwater; brackish"
"Lates longispinis","freshwater"
"Lates mariae","freshwater"
"Lates microlepis","freshwater"
"Lates niloticus","freshwater"
"Lates stappersii","freshwater"
"Latimeria chalumnae","marine"
"Latridopsis ciliaris","marine"
"Latris lineata","marine"
"Leiognathus brevirostris","marine; brackish"
"Leiognathus equulus","marine; freshwater; brackish"
"Leiopotherapon plumbeus","freshwater"
"Leiostomus xanthurus","marine; brackish"
"Leocottus kesslerii","freshwater"
"Lepidion eques","marine; benthopelagic"
"Lepidion lepidion","marine"
"Lepidocephalichthys guntea","freshwater; brackish"
"Lepidogalaxias salamandroides","freshwater"
"Lepidogobius lepidus","marine"
"Lepidonotothen squamifrons","marine; benthopelagic"
"Lepidophanes guentheri","marine"
"Lepidopsetta bilineata","marine"
"Lepidopsetta polyxystra","marine"
"Lepidopus caudatus","marine; benthopelagic"
"Lepidorhombus boscii","marine"
"Lepidorhombus whiffiagonis","marine"
"Lepidotrigla cavillone","marine"
"Lepisosteus osseus","freshwater; brackish"
"Lepisosteus platyrhincus","freshwater"
"Lepomis gibbosus","freshwater; brackish; benthopelagic"
"Lepomis macrochirus","freshwater; benthopelagic"
"Lepomis megalotis","freshwater"
"Leporinus friderici","freshwater; benthopelagic"
"Leporinus obtusidens","freshwater; benthopelagic"
"Leptomelanosoma indicum","marine; brackish"
"Leptoscarus vaigiensis","marine; reef-associated"
"Lepturacanthus savala","marine; brackish; benthopelagic"
"Lestidiops ringens","marine"
"Lestrolepis japonica","marine"
"Lesueurigobius friesii","marine"
"Lethenteron appendix","freshwater"
"Lethrinops longipinnis","freshwater"
"Lethrinops parvidens","freshwater"
"Lethrinus atkinsoni","marine; reef-associated"
"Lethrinus borbonicus","marine; reef-associated"
"Lethrinus enigmaticus","marine; reef-associated"
"Lethrinus erythracanthus","marine; reef-associated"
"Lethrinus genivittatus","marine; brackish; reef-associated"
"Lethrinus haematopterus","marine; reef-associated"
"Lethrinus harak","marine; brackish; reef-associated"
"Lethrinus lentjan","marine; brackish; reef-associated"
"Lethrinus mahsena","marine; reef-associated"
"Lethrinus microdon","marine; reef-associated"
"Lethrinus miniatus","marine; brackish; reef-associated"
"Lethrinus nebulosus","marine; brackish; reef-associated"
"Lethrinus obsoletus","marine; reef-associated"
"Lethrinus olivaceus","marine; reef-associated"
"Lethrinus ornatus","marine; reef-associated"
"Lethrinus rubrioperculatus","marine; reef-associated"
"Lethrinus semicinctus","marine; reef-associated"
"Lethrinus variegatus","marine; reef-associated"
"Lethrinus xanthochilus","marine; reef-associated"
"Leucaspius delineatus","freshwater; brackish"
"Leuciscus aspius","freshwater; brackish; benthopelagic"
"Leuciscus baicalensis","freshwater"
"Leuciscus idus","freshwater; brackish; benthopelagic"
"Leuciscus leuciscus","freshwater; brackish; benthopelagic"
"Leuciscus vorax","freshwater"
"Leuciscus waleckii","freshwater; benthopelagic"
"Leucoraja erinacea","marine"
"Leucoraja naevus","marine"
"Leucoraja ocellata","marine"
"Leucoraja wallacei","marine; brackish"
"Leucos basak","freshwater"
"Leucos ylikiensis","freshwater"
"Leuresthes tenuis","marine"
"Leuroglossus stilbius","marine"
"Lile stolifera","marine"
"Limanda aspera","marine"
"Limanda ferruginea","marine"
"Limanda limanda","marine"
"Limanda punctatissima","marine"
"Limanda sakhalinensis","marine"
"Limnocottus godlewskii","freshwater"
"Limnocottus pallidus","freshwater"
"Limnothrissa miodon","freshwater"
"Liopsetta glacialis","marine; freshwater; brackish"
"Liparis inquilinus","marine"
"Liparis pulchellus","marine"
"Lipocheilus carnolabrum","marine"
"Lipophrys pholis","marine"
"Lithognathus aureti","marine; benthopelagic"
"Lithognathus lithognathus","marine; brackish; benthopelagic"
"Lithognathus mormyrus","marine; brackish"
"Liza abu","freshwater; brackish"
"Liza argentea","marine; freshwater; brackish"
"Liza aurata","marine; freshwater; brackish"
"Liza carinata","marine; brackish"
"Liza grandisquamis","marine; freshwater; brackish"
"Liza haematocheila","marine; freshwater; brackish"
"Liza klunzingeri","marine"
"Liza ramada","marine; freshwater; brackish"
"Liza saliens","marine; brackish"
"Lobianchia dofleini","marine"
"Lobocheilos bo","freshwater"
"Lobotes surinamensis","marine; brackish; benthopelagic"
"Lophius americanus","marine"
"Lophius budegassa","marine"
"Lophius piscatorius","marine"
"Lophius vomerinus","marine"
"Lopholatilus chamaeleonticeps","marine"
"Lopholatilus villarii","marine"
"Lota lota","freshwater; brackish"
"Loxodon macrorhinus","marine"
"Luciobarbus albanicus","freshwater"
"Luciobarbus bocagei","freshwater"
"Luciobarbus brachycephalus","freshwater; brackish; benthopelagic"
"Luciobarbus sclateri","freshwater"
"Luciobarbus xanthopterus","freshwater"
"Luciopimelodus pati","freshwater"
"Lumpenus lampretaeformis","marine"
"Lutjanus adetii","marine; reef-associated"
"Lutjanus alexandrei","marine"
"Lutjanus analis","marine; brackish; reef-associated"
"Lutjanus apodus","marine; brackish; reef-associated"
"Lutjanus argentimaculatus","marine; freshwater; brackish; reef-associated"
"Lutjanus argentiventris","marine; brackish; reef-associated"
"Lutjanus bohar","marine; freshwater; brackish; reef-associated"
"Lutjanus boutton","marine; reef-associated"
"Lutjanus buccanella","marine; reef-associated"
"Lutjanus campechanus","marine; reef-associated"
"Lutjanus carponotatus","marine; reef-associated"
"Lutjanus cyanopterus","marine; brackish; reef-associated"
"Lutjanus ehrenbergii","marine; freshwater; brackish; reef-associated"
"Lutjanus erythropterus","marine; reef-associated"
"Lutjanus fulviflamma","marine; brackish; reef-associated"
"Lutjanus fulvus","marine; freshwater; brackish; reef-associated"
"Lutjanus gibbus","marine; reef-associated"
"Lutjanus griseus","marine; freshwater; brackish; reef-associated"
"Lutjanus guttatus","marine; reef-associated"
"Lutjanus jocu","marine; freshwater; brackish; reef-associated"
"Lutjanus johnii","marine; brackish; reef-associated"
"Lutjanus kasmira","marine; reef-associated"
"Lutjanus lutjanus","marine"
"Lutjanus mahogoni","marine; reef-associated"
"Lutjanus malabaricus","marine; brackish; reef-associated"
"Lutjanus monostigma","marine; reef-associated"
"Lutjanus peru","marine; reef-associated"
"Lutjanus purpureus","marine"
"Lutjanus quinquelineatus","marine; reef-associated"
"Lutjanus rivulatus","marine; reef-associated"
"Lutjanus sanguineus","marine; reef-associated"
"Lutjanus sebae","marine; brackish; reef-associated"
"Lutjanus synagris","marine; reef-associated"
"Lutjanus timoriensis","marine; reef-associated"
"Lutjanus vitta","marine; brackish; reef-associated"
"Lutjanus vivanus","marine; reef-associated"
"Luxilus chrysocephalus","freshwater"
"Lycengraulis grossidens","marine; freshwater; brackish"
"Lycodes albolineatus","marine; brackish"
"Lycodes brunneofasciatus","marine"
"Lycodes gracilis","marine"
"Lycodes pacificus","marine"
"Maccullochella ikei","freshwater"
"Maccullochella peelii","freshwater"
"Macquaria ambigua","freshwater"
"Macquaria novemaculeata","freshwater; brackish"
"Macrhybopsis aestivalis","freshwater"
"Macrodon ancylodon","marine; brackish"
"Macrodon atricauda","marine"
"Macrognathus maculatus","freshwater"
"Macrognathus pancalus","freshwater; brackish"
"Macroramphosus gracilis","marine"
"Macroramphosus scolopax","marine"
"Macrourus berglax","marine; benthopelagic"
"Macruronus magellanicus","marine; benthopelagic"
"Macruronus novaezelandiae","marine; brackish; benthopelagic; oceanodromous"
"Makaira mazara","marine"
"Makaira nigricans","marine"
"Malacocottus zonurus","marine"
"Malacoraja senta","marine; brackish"
"Mallotus villosus","marine; freshwater; brackish"
"Marcusenius macrolepidotus","freshwater"
"Marcusenius monteiri","freshwater"
"Mastacembelus mastacembelus","freshwater"
"Masturus lanceolatus","marine; brackish"
"Maurolicus muelleri","marine"
"Maurolicus stehmanni","marine"
"Megalaspis cordyla","marine; brackish; reef-associated"
"Megalobrama amblycephala","freshwater; benthopelagic"
"Megalobrama terminalis","freshwater; benthopelagic"
"Megalocottus platycephalus","marine"
"Megalops atlanticus","marine; freshwater; brackish; reef-associated"
"Melanogrammus aeglefinus","marine"
"Melanotaenia fluviatilis","freshwater; benthopelagic"
"Mene maculata","marine; brackish; reef-associated"
"Menidia extensa","freshwater"
"Menidia menidia","marine; brackish"
"Menticirrhus americanus","marine; brackish"
"Menticirrhus saxatilis","marine; brackish"
"Menticirrhus undulatus","marine"
"Merlangius merlangus","marine; brackish; benthopelagic"
"Merluccius albidus","marine"
"Merluccius angustimanus","marine"
"Merluccius australis","marine; benthopelagic"
"Merluccius bilinearis","marine"
"Merluccius capensis","marine"
"Merluccius gayi gayi","marine; oceanodromous"
"Merluccius gayi peruanus","marine"
"Merluccius hubbsi","marine; benthopelagic"
"Merluccius merluccius","marine"
"Merluccius paradoxus","marine"
"Merluccius polli","marine"
"Merluccius productus","marine; brackish"
"Merluccius senegalensis","marine"
"Mesogobius batrachocephalus","freshwater; brackish"
"Metelectrona ventralis","marine"
"Micralestes acutidens","freshwater"
"Microchirus azevia","marine"
"Microchirus theophila","marine"
"Microchirus variegatus","marine"
"Microgobius thalassinus","marine"
"Micromesistius australis","marine; benthopelagic"
"Micromesistius poutassou","marine"
"Micrometrus aurora","marine"
"Microphysogobio amurensis","freshwater; benthopelagic"
"Micropogonias furnieri","marine; brackish"
"Micropogonias megalops","marine; brackish; benthopelagic"
"Micropogonias undulatus","marine; brackish"
"Micropterus dolomieu","freshwater"
"Micropterus salmoides","freshwater; benthopelagic"
"Microstomus achne","marine"
"Microstomus kitt","marine"
"Microstomus pacificus","marine"
"Miichthys miiuy","marine; brackish"
"Milyeringa veritas","freshwater; brackish"
"Mirogrex terraesanctae","freshwater"
"Misgurnus anguillicaudatus","freshwater"
"Misgurnus fossilis","freshwater; brackish"
"Mistichthys luzonensis","freshwater"
"Mobula japanica","marine"
"Moenkhausia dichroura","freshwater; benthopelagic"
"Mola mola","marine"
"Molva dypterygia","marine"
"Molva molva","marine"
"Monocentris reedi","marine"
"Monochirus hispidus","marine"
"Monopterus albus","freshwater; brackish"
"Moolgarda cunnesius","marine; freshwater; brackish"
"Moolgarda seheli","marine; freshwater; brackish; reef-associated"
"Mora moro","marine"
"Mormyrops anguilloides","freshwater"
"Mormyrus lacerda","freshwater"
"Mormyrus longirostris","freshwater"
"Mormyrus rume","freshwater"
"Morone americana","marine; freshwater; brackish"
"Morone chrysops","freshwater"
"Morone mississippiensis","freshwater"
"Morone saxatilis","marine; freshwater; brackish"
"Mugil cephalus","marine; freshwater; brackish; benthopelagic"
"Mugil curema","marine; freshwater; brackish; reef-associated"
"Mugil hospes","marine; brackish"
"Mugil incilis","marine; brackish"
"Mugil liza","marine; freshwater; brackish"
"Mugil trichodon","marine; freshwater; brackish"
"Mulloidichthys flavolineatus","marine; reef-associated"
"Mulloidichthys martinicus","marine; reef-associated"
"Mulloidichthys vanicolensis","marine; reef-associated"
"Mullus barbatus barbatus","marine"
"Mullus barbatus ponticus","marine"
"Mullus surmuletus","marine"
"Muraena augusti","marine"
"Muraena helena","marine; reef-associated"
"Mustelus antarcticus","marine"
"Mustelus asterias","marine"
"Mustelus californicus","marine"
"Mustelus canis","marine; brackish"
"Mustelus henlei","marine"
"Mustelus lenticulatus","marine"
"Mustelus manazo","marine"
"Mustelus mustelus","marine"
"Mustelus schmitti","marine"
"Mycteroperca bonaci","marine; reef-associated"
"Mycteroperca interstitialis","marine; reef-associated"
"Mycteroperca microlepis","marine; brackish; reef-associated"
"Mycteroperca olfax","marine"
"Mycteroperca phenax","marine; brackish; reef-associated"
"Mycteroperca rosacea","marine; reef-associated"
"Mycteroperca rubra","marine"
"Mycteroperca tigris","marine; reef-associated"
"Mycteroperca venenosa","marine; reef-associated"
"Myctophum nitidulum","marine"
"Myctophum punctatum","marine"
"Myleus rhomboidalis","freshwater"
"Myliobatis californica","marine"
"Mylochromis anaphyrmus","freshwater"
"Mylopharyngodon piceus","freshwater"
"Myoxocephalus brandtii","marine"
"Myoxocephalus jaok","marine"
"Myoxocephalus octodecemspinosus","marine; brackish"
"Myoxocephalus polyacanthocephalus","marine"
"Myoxocephalus quadricornis","marine; freshwater; brackish"
"Myoxocephalus scorpius","marine; brackish"
"Myoxocephalus stelleri","marine; brackish; reef-associated"
"Myripristis amaena","marine; reef-associated"
"Myripristis murdjan","marine; reef-associated"
"Mystus tengara","freshwater"
"Myxus elongatus","marine; freshwater; brackish; reef-associated"
"Nandus nandus","freshwater; brackish; benthopelagic"
"Nannatherina balstoni","freshwater; benthopelagic"
"Nannobrachium regale","marine"
"Nannobrachium ritteri","marine"
"Nannoperca vittata","freshwater"
"Naso annulatus","marine; reef-associated"
