"species","habitat"
"Aphanius iberus","freshwater; brackish; benthopelagic"
"Aphanius sophiae","freshwater; benthopelagic"
"Aphanopus carbo","marine"
"Aphanopus intermedius","marine; benthopelagic"
"Aphareus rutilans","marine; reef-associated"
"Aphia minuta","marine; brackish"
"Aphredoderus sayanus","freshwater"
"Apogon imberbis","marine; reef-associated"
"Aprion virescens","marine; reef-associated"
"Apsilus dentatus","marine; reef-associated"
"Arabibarbus grypus","freshwater"
"Arapaima gigas","freshwater"
"Archosargus probatocephalus","marine; brackish; reef-associated"
"Archosargus rhomboidalis","marine; brackish"
"Argentina sialis","marine; brackish"
"Argentina silus","marine"
"Argentina sphyraena","marine"
"Argyropelecus affinis","marine"
"Argyrops filamentosus","marine; reef-associated"
"Argyrops spinifer","marine"
"Argyrosomus inodorus","marine; brackish; benthopelagic"
"Argyrosomus japonicus","marine; brackish; benthopelagic"
"Argyrosomus regius","marine; brackish; benthopelagic"
"Argyrozona argyrozona","marine; benthopelagic"
"Ariomma indicum","marine; benthopelagic"
"Ariopsis guatemalensis","marine; freshwater; brackish"
"Aristostomias scintillans","marine"
"Arius latiscutatus","marine; brackish"
"Arius maculatus","marine; freshwater; brackish"
"Arnoglossus laterna","marine"
"Arnoglossus thori","marine"
"Arrhamphus sclerolepis krefftii","marine; freshwater; brackish"
"Arripis georgianus","marine; brackish"
"Arripis trutta","marine; brackish"
"Arripis truttacea","marine; brackish; benthopelagic"
"Artediellus camchaticus","marine"
"Aspidophoroides monopterygius","marine"
"Aspredinichthys filamentosus","freshwater; brackish"
"Aspredo aspredo","freshwater; brackish"
"Astyanax altiparanae","freshwater"
"Atheresthes evermanni","marine"
"Atheresthes stomias","marine"
"Atherina boyeri","marine; freshwater; brackish"
"Atherina presbyter","marine; brackish"
"Atherinella brasiliensis","marine; brackish"
"Atractoscion aequidens","marine; benthopelagic"
"Atractoscion nobilis","marine"
"Atrobucca nibe","marine"
"Atropus atropos","marine"
"Atule mate","marine; brackish; reef-associated"
"Auchenipterus nuchalis","freshwater"
"Auchenoglanis occidentalis","freshwater"
"Aulorhynchus flavidus","marine; benthopelagic"
"Austroglossus microlepis","marine"
"Austroglossus pectoralis","marine"
"Austrolebias viarius","freshwater; benthopelagic"
"Auxis rochei","marine; brackish"
"Auxis thazard","marine"
"Bagre bagre","marine; brackish"
"Bagrus bajad","freshwater"
"Bagrus docmak","freshwater; benthopelagic"
"Bagrus meridionalis","freshwater"
"Bairdiella chrysoura","marine; freshwater; brackish"
"Bajacalifornia burragei","marine"
"Balistes capriscus","marine; reef-associated"
"Balistes polylepis","marine; reef-associated"
"Balistes punctatus","marine"
"Balistes vetula","marine; reef-associated"
"Ballerus ballerus","freshwater; brackish; benthopelagic"
"Ballerus sapa","freshwater; brackish"
"Barbatula barbatula","freshwater"
"Barbodes carnaticus","freshwater; benthopelagic"
"Barbonymus collingwoodii","freshwater"
